table_variables,table_anchors,no,pattern,non_cross,locality,ambiguity,strong,non_periodic
4,2,1,xxAxBy,+,1,+,-?,-?
4,2,2,xxAyBx,-,1,+,+,-?
4,2,3,xxAyBy,+,1,-,-?,-?
4,2,4,xAxByx,-,1,+,-?,-?
4,2,5,xAyBxy,-,2,+,+,-?
4,2,6,xAyByx,-,1,+,+,-?
4,2,7,xAxBxy,+,1,+,-?,-?
4,2,8,xAxxBy,+,1,+,-?,-?
4,2,9,xAxyBx,-,1,+,+,-?
4,2,10,xAxyBy,+,1,+,-?,-?
4,2,11,xAyxBy,-,2,-,-,-
4,2,12,xAyyBx,-,1,+,+,-?
5,2,1,xxxAxBy,+,1,+,-?,-?
5,2,2,xxxAyBx,-,1,+,+,-?
5,2,3,xxxAyBy,+,1,-,-?,-?
5,2,4,xAxByxx,-,1,+,-?,-?
5,2,5,xAyBxyy,-,2,-?,-?,-?
5,2,6,xAyByxx,-,1,-?,-?,-?
5,2,7,xAxBxyy,+,1,-?,-?,-?
5,2,8,xxAxxBy,+,1,+,-?,-?
5,2,9,xxAxyBx,-,1,+,+,-?
5,2,10,xxAxyBy,+,1,-?,-?,-?
5,2,11,xxAxBxy,+,1,+,-?,-?
5,2,12,xxAxByx,-,1,+,-?,-?
5,2,13,xxAxByy,+,1,+,-?,-?
5,2,14,xxAyxBx,-,1,+,-?,-?
5,2,15,xxAyxBy,-,2,-,-?,-?
5,2,16,xxAyyBx,-,1,+,-?,-?
5,2,17,xxAyyBy,+,1,+,-?,-?
5,2,18,xxAyBxx,-,1,+,+,-?
5,2,19,xxAyBxy,-,2,-?,-?,-?
5,2,20,xxAyByx,-,1,+,-?,-?
5,2,21,xAxBxyx,-,1,+,-?,-?
5,2,22,xAyByxy,-,2,-?,-?,-?
5,2,23,xAyBxyx,-,2,-?,-?,-?
5,2,24,xAxByxy,-,2,-?,-?,-?
5,2,25,xAxByyx,-,1,+,-?,-?
5,2,26,xAyBxxy,-,2,-?,-?,-?
5,2,27,xAyByyx,-,1,+,-?,-?
5,2,28,xAxBxxy,+,1,+,-?,-?
5,2,29,xAxxByx,-,1,+,-?,-?
5,2,30,xAyyBxy,-,2,-?,-?,-?
5,2,31,xAyxByx,-,2,-?,-?,-?
5,2,32,xAxyBxy,-,2,-?,-?,-?
5,2,33,xyAyBxy,-,2,-?,-?,-?
5,2,34,xyAxByx,-,2,-?,-?,-?
5,2,35,xAxyByx,-,1,+,-?,-?
5,2,36,xAyxBxy,-,2,-?,-?,-?
5,2,37,xAyyByx,-,1,-?,-?,-?
5,2,38,xAxxBxy,+,1,+,-?,-?
5,2,39,xyAyByx,-,1,+,+,-?
5,2,40,xAxxxBy,+,1,+,-?,-?
5,2,41,xAxxyBx,-,1,+,+,-?
5,2,42,xAxyyBy,+,1,+,-?,-?
5,2,43,xAxyxBx,-,1,+,-?,-?
5,2,44,xAxyxBy,-,2,-?,-?,-?
5,2,45,xAxyyBx,-,1,-?,-?,-?
5,2,46,xAyyxBy,-,2,-?,-?,-?
5,2,47,xAyxyBx,-,2,-?,-?,-?
5,2,48,xAyyyBx,-,1,+,-?,-?
5,3,1,xxAxBxCy,+,1,+,-?,-?
5,3,2,xxAxByCx,-,1,+,+,-?
5,3,3,xxAxByCy,+,1,-?,-?,-?
5,3,4,xxAyBxCx,-,1,+,-?,-?
5,3,5,xxAyBxCy,-,2,-?,-?,-?
5,3,6,xxAyByCx,-,1,-?,-?,-?
5,3,7,xxAyByCy,+,1,-?,-?,-?
